Date;City;MinTemp;MaxTemp
19/Oct/2019;SP;17;28
20/Oct/2019;SP;14;21
21/Oct/2019;SP;13;21
22/Oct/2019;SP;16;25
23/Oct/2019;SP;16;24
24/Oct/2019;SP;17;27
25/Oct/2019;SP;17;28
26/Oct/2019;SP;18;25
19/Oct/2019;RJ;23;29
20/Oct/2019;RJ;20;25
21/Oct/2019;RJ;18;25
22/Oct/2019;RJ;19;27
23/Oct/2019;RJ;21;26
24/Oct/2019;RJ;20;28
25/Oct/2019;RJ;21;30
26/Oct/2019;RJ;22;29
